"identifier","name","count","bin","frequency"
"lnlccrn","O-linoleoylcarnitine","3","3","439"
"dmhptcoa","2,6-dimethylheptanoyl-CoA(4-)","3","3","439"
"dmgly","N,N-dimethylglycine","3","3","439"
"lnlncacrn","alpha-linolenyl carnitine","3","3","439"
"dmantipyrine","edaravone","3","3","439"
"dlnlcgcrn","dihomo-gamma-linolenyl carnitine","3","3","439"
"lnlncgcrn","gamma-linolenyl carnitine","3","3","439"
"C06199","hordenine","3","3","439"
"C06314","lipoxin A4","3","3","439"
"dha","glycerone","3","3","439"
"whtststerone","19-hydroxytestosterone","3","3","439"
"decdp","all trans Decaprenyl diphosphate","3","3","439"
"whddca","3-hydroxypalmitic acid","3","3","439"
"decdicrn","decadienoyl carnitine","3","3","439"
"m2gacpail_hs","dimannosyl-glucosaminyl-acylphosphatidylinositol (H3)","3","3","439"
"debrisoquine","debrisoquin","3","3","439"
"m3gacpail_hs","trimannosyl-glucosaminyl-acylphosphatidylinositol (H4)","3","3","439"
"ddece1crn","dodecenoyl carnitine","3","3","439"
"m4mpdol_U","(alpha-D-mannosyl)(4)-beta-D-mannosyldiacetylchitobiosyldiphosphodolichol","3","3","439"
"ddcaACP","Dodecanoyl-[acyl-carrier protein]","3","3","439"
"m5masnC","(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","3","3","439"
"dd3coa","cis-dodec-3-enoyl-CoA(4-)","3","3","439"
"dcsptn1crn","docosa-4,7,10,13,16-pentaenoyl carnitine","3","3","439"
"C11304","S-(PGA1)-glutathione","3","3","439"
"dcsptn1","(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoic acid","3","3","439"
"hx","hexanoate","3","3","439"
"m8mpdol_U","(alpha-D-mannosyl)(8)-beta-D-mannosyldiacetylchitobiosyldiphosphodolichol","3","3","439"
"m_em_3gacpail_hs","mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol (M4A))","3","3","439"
"e","electron","3","3","439"
"C14849","Benzo[a]pyrene-9,10-oxide","3","3","439"
"C14851","Benzo[a]pyrene-4,5-oxide","3","3","439"
"xtsn","xanthosine","3","3","439"
"CE0233","5beta-cholestane-3alpha,7alpha,27-triol","3","3","439"
"3octdece1crn","3-hydroxy-octadecenoyl carnitine","3","3","439"
"3octdece1coa","3-hydroxyoctadecenoylcoa","3","3","439"
"malthp","maltoheptaose","3","3","439"
"cyst_L","L-cystathionine","3","3","439"
"CE0692","3-oxolaur-cis-5-enoyl-CoA","3","3","439"
"csn","cytosine","3","3","439"
"cs_pre","chondroitin sulfate precursor (GalNAc-GlcA-(Gal)2-Xyl-L-Ser (protein))","3","3","439"
"cs_hs_linkage","chondroitin sulfate/heparan sulfate linkage region (GlcA-(Gal)2-Xyl-L-Ser (protein))","3","3","439"
"cs_e_pre4","chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 4","3","3","439"
"3octdeccrn","3-hydroxyoctadecanoyl carnitine","3","3","439"
"3octdec2crn","3-hydroxyoctadecadienoylcarnitine","3","3","439"
"cs_e_pre2","chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 2","3","3","439"
"cs_e","chondroitin sulfate E (GalNAc4,6diS-GlcA), free chain","3","3","439"
"memgacpail_hs","(mannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (B)","3","3","439"
"cs_e_deg7","chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 7","3","3","439"
"mepi","L-Metanephrine","3","3","439"
"cs_e_deg4","chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4","3","3","439"
"cs_e_deg3","chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 3","3","3","439"
"3ocddcoa","3-hydroxyoctadecadienoylcoa","3","3","439"
"3moxtyr","3-Methoxytyramine","3","3","439"
"cs_d","chondroitin sulfate D (GlcNAc6S-GlcA2S), free chain","3","3","439"
"mgacpail_hs","mannosyl-glucosaminyl-acylphosphatidylinositiol (H2)","3","3","439"
"cs_d_deg6","chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 6","3","3","439"
"cs_d_deg4","chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 4","3","3","439"
"mi1346p","myo-inositol 1,3,4,6-tetrakisphosphate(8-)","3","3","439"
"cs_d_deg2","chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 2","3","3","439"
"cs_c","chondroitin sulfate C (GalNAc6S-GlcA), free chain","3","3","439"
"cs_c_deg3","chondroitin sulfate C (GalNAc6S-GlcA), degradation product 3","3","3","439"
"cs_c_deg2","chondroitin sulfate C (GalNAc6S-GlcA), degradation product 2","3","3","439"
"cs_b","chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), free chain","3","3","439"
"cs_b_deg2","chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 2","3","3","439"
"cs_a","chondroitin sulfate A (GalNAc4S-GlcA), free chain","3","3","439"
"cs_a_deg3","chondroitin sulfate A (GalNAc4S-GlcA), degradation product 3","3","3","439"
"mmcoa_R","(R)-methylmalonyl-CoA(5-)","3","3","439"
"cs_a_deg2","chondroitin sulfate A (GalNAc4S-GlcA), degradation product 2","3","3","439"
"mn","beta-1,4-mannose-N-acetylglucosamine","3","3","439"
"cs_a_b_pre3","chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 3","3","3","439"
"cs_a_b_e_pre1","chondroitin sulfate A (GalNAc4S-GlcA), B (IdoA2S-GalNAc4S), and E (GalNAc4,6diS-GlcA), precursor 1","3","3","439"
"crmp_hs","N-acylsphingosine 1-phosphate(2-)","3","3","439"
"n2m2nm","n2m2nmasn (w/o peptide linkage)","3","3","439"
"coumarin","coumarin","3","3","439"
"n2m2nmn","reducing GlcNAc removed form of n2m2nmasn (w/o peptide)","3","3","439"
"n4abutn","4-acetamidobutanal","3","3","439"
"core2","Core 2","3","3","439"
"co","carbon monoxide","3","3","439"
"cmusa","cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate","3","3","439"
"3mlda","1-methyl-4-imidazoleacetic acid","3","3","439"
"clpndcrn","clupanodonyl carnitine","3","3","439"
"clpnd","(7Z,10Z,13Z,16Z,19Z)-docosapentaenoic acid","3","3","439"
"3ivcrn","3-hydroxy-isovaleryl carnitine","3","3","439"
"3ivcoa","3-hydroxyisovaleryl-CoA","3","3","439"
"3ityr_L","3-iodo-L-tyrosine","3","3","439"
"nicrns","D-ribosylnicotinate","3","3","439"
"3htmelys","3-hydroxy-N(6),N(6),N(6)-trimethyl-L-lysine","3","3","439"
"citmcoa_L","(3S)-citramalyl-CoA(5-)","3","3","439"
"cholcoas","(25S)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA","3","3","439"
"CE1261","5-S-cysteinyldopa","3","3","439"
"xylu_D","D-xylulose","3","3","439"
"CE1262","5-(S-L-cysteinyl)-dopaquinone","3","3","439"
"npthl","naphthalene","3","3","439"
"carveol","(-)-trans-carveol","3","3","439"
"nrpphrsf","Sulfate derivative of norepinephrine","3","3","439"
"caro","beta-carotene","3","3","439"
"nrvnccrn","Nervonyl carnitine","3","3","439"
"3hodcoa","(S)-3-Hydroxyoctadecanoyl-CoA","3","3","439"
"nwharg","N(5)-[(Z)-amino(hydroxyimino)methyl]ornithine","3","3","439"
"3hmp","3-hydroxy-2-isobutyrate","3","3","439"
"c81crn","octenoyl carnitine","3","3","439"
"c5dc","glutaryl carnitine","3","3","439"
"4pyrdx","4-pyridoxate","3","3","439"
"c226crn","cervonyl carnitine","3","3","439"
"3hexdcrn","3-hydroxyhexadecanoylcarnitine","3","3","439"
"c101crn","decenoyl carnitine","3","3","439"
"urcan","trans-urocanate","3","3","439"
"3hdececrn","3-hydroxyhexadecenoylcarnitine","3","3","439"
"ocdececrn","11Z-Octadecenylcarnitine","3","3","439"
"octa","octanoate","3","3","439"
"3hdeccoa","3-hydroxyhexadecenoylcoa","3","3","439"
"octdececrn","octadecenoyl carnitine (hypothetical, position of double bond unknown)","3","3","439"
"zym_int2","zymosterol intermediate 2","3","3","439"
"bvite","beta-tocopherol","3","3","439"
"CE1273","5beta-cholestane-3alpha,7alpha,12alpha,24S,25-pentol","3","3","439"
"oh1","hydroxide ion","3","3","439"
"omeprazole","omeprazole","3","3","439"
"omhdecacid","w-hydroxydecanoicacid","3","3","439"
"omhdocosac","22-hydroxydocosanoate","3","3","439"
"bamppald","3-aminopropanal","3","3","439"
"onpthl","naphthalene 1,2-oxide","3","3","439"
"arachcrn","arachidyl carnitine","3","3","439"
"CE1918","5-hydroxytryptophol","3","3","439"
"arab_L","L-arabinose","3","3","439"
"aqcobal","aquacob(III)alamin","3","3","439"
"3hbcoa_R","(R)-3-hydroxybutanoyl-CoA(4-)","3","3","439"
"aps","5'-adenylyl sulfate(2-)","3","3","439"
"aprgstrn","(20S)-20-hydroxypregn-4-en-3-one","3","3","439"
"appnn","(+)-alpha-pinene","3","3","439"
"apnnox","alpha-pinene oxide","3","3","439"
"3dphb","4-hydroxy-3-all-trans-decaprenylbenzoic acid","3","3","439"
"3dpdhb","3-decaprenyl-4,5-dihydroxybenzoic acid","3","3","439"
"antipyrene","antipyrine","3","3","439"
"ametam","S-adenosylmethioninaminium","3","3","439"
"am6sa","2-aminomuconate 6-semialdehyde(1-)","3","3","439"
"palmACP","palmitoyl-[acyl-carrier protein]","3","3","439"
"3deccrn","3-hydroxydecanoylcarnitine","3","3","439"
"alpa_hs","1-lysophosphatidic acid","3","3","439"
"3ddcrn","3-hydroxydodecanoylcarnitine","3","3","439"
"3bcrn","3-hydroxy butyryl carnitine","3","3","439"
"alaala","D-alanyl-D-alanine","3","3","439"
"CE1936","spermine dialdehyde","3","3","439"
"ak2g_hs","1-alkyl-2-acyl-sn-glycerol","3","3","439"
"aflatoxin","aflatoxin B1","3","3","439"
"adrncrn","Adrenyl carnitine","3","3","439"
"adprbp","ADP-D-ribose 2'-phosphate(4-)","3","3","439"
"pect","pectins","3","3","439"
"adpac","adipic acid","3","3","439"
"adocbl","cobamamide","3","3","439"
"peplys","Peptidyl-L-lysine","3","3","439"
"perillyl","perillyl alcohol","3","3","439"
"adhap_hs","acylglycerone phosphate","3","3","439"
"35diotyr","3,5-diiodo-L-tyrosine","3","3","439"
"pheacgln","N(2)-phenylacetyl-L-glutaminate","3","3","439"
"acngalacglcgal14acglcgalgluside_hs","VI3NeuAc-nLc6Cer","3","3","439"
"acngal14acglcgalgluside_hs","alpha-Neup5NAc-(2->3)-beta-D-Galp-(1->4)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-Glcp-(1<->1')-Cer","3","3","439"
"phpyr","keto-phenylpyruvate","3","3","439"
"phyQ","phylloquinone","3","3","439"
"acnacngalgbside_hs","disialyl galactosylgloboside","3","3","439"
"acnacngal14acglcgalgluside_hs","3,8-LD1","3","3","439"
"acn23acngalgbside_hs","sialyl (2,3) sialyl (2,6) galactosylgloboside","3","3","439"
"acn13acngalgbside_hs","sialyl (1,3) sialyl (2,6) galactosylgloboside","3","3","439"
"acglcgalgluside_hs","N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide","3","3","439"
"34dhpha","(3,4-dihydroxyphenyl)acetate","3","3","439"
"oxy1rb","oxypurinol-1-riboside","3","3","439"
"oxy7rb","oxypurinol-7-riboside","3","3","439"
"aact","ammonioacetone","3","3","439"
"34dhoxpeg","3,4-dihydroxyphenylethyleneglycol","3","3","439"
"T4hcinnm","trans-4-coumarate","3","3","439"
"ppmi12346p","5-diphospho-1D-myo-inositol pentakisphosphate(13-)","3","3","439"
"pppg9","protoporphyrinogen(2-)","3","3","439"
"Sfglutth","S-formylglutathionate(1-)","3","3","439"
"Rtotalcrn","O-acyl-L-carnitine","3","3","439"
"udprib","udp-ribose","3","3","439"
"R2coa_hs","fatty acyl-CoA","3","3","439"
"Nacasp","N-acetyl-L-aspartate(2-)","3","3","439"
"Lfmkynr","N-formyl-L-kynurenine","3","3","439"
"CE2089","S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine","3","3","439"
"HC02172","zinc(2+)","3","3","439"
"1hibupglu_S","1-hydroxy S-ibuprofen-glucuronide","3","3","439"
"2hibupglu_S","2-hydroxy S-ibuprofen-glucuronide","3","3","439"
"progly","L-prolylglycine","3","3","439"
"2pg","2-phosphonato-D-glycerate(3-)","3","3","439"
"HC02027","Cholesterol-ester-arach","3","3","439"
"HC02024","cholesteryl linoleate","3","3","439"
"HC02023","cholesteryl oleate","3","3","439"
"HC02022","cholesteryl stearate","3","3","439"
"HC02020","cholesteryl palmitate","3","3","439"
"3hibupglu_S","3-hydroxy S-ibuprofen-glucuronide","3","3","439"
"HC01787","Lepidimoide","3","3","439"
"2mcit","2-methylcitrate(3-)","3","3","439"
"HC01162","CMP-N-glycoloyl-beta-neuraminate(2-)","3","3","439"
"HC00955","3-cyano-L-alanine","3","3","439"
"HC00695","S(8)-succinyldihydrolipoamide","3","3","439"
"ptdca","pentadecanoic acid","3","3","439"
"HC00361","sedoheptulose 1,7-bisphosphate(4-)","3","3","439"
"ptdcacrn","pendtadenoyl carnitine","3","3","439"
"HC00319","malonic acid","3","3","439"
"CN0011","Benzo[a]pyrene-9,10-diol","3","3","439"
"CN0010","Benzo[a]pyrene-4,5-diol","3","3","439"
"CN0009","Benzo[a]pyrene-2,3-diol","3","3","439"
"3hlvst","3''-hydroxy-lovastatin lactone form","3","3","439"
"CE7113","15-epi-lipoxin B5","3","3","439"
"CE7110","5,6-epoxy,18R-HEPE","3","3","439"
"2kmb","4-methylthio-2-oxobutanoate","3","3","439"
"CE7085","5-HEPE","3","3","439"
"CE7083","Leukotriene B5","3","3","439"
"CE7081","15(R-S)-HEPE","3","3","439"
"isolvstacid","3'-hydroxy-iso-delta-4',5'-hydroxy acid form of lovastatin","3","3","439"
"CE7079","leukotriene A5","3","3","439"
"rbt","D-ribitol","3","3","439"
"CE7047","gama-tocopheroxyl radical","3","3","439"
"CE6504","1-hydroperoxy-8-carboxyoctyl 3,4-epoxynon-(2E)-enyl ether","3","3","439"
"2dr5p","2-deoxy-D-ribose 5-phosphate(2-)","3","3","439"
"3hlvstacid","3''-hydroxy-lovastatin acid form","3","3","439"
"simvgluc","simvastatin-acyl-glucuronide","3","3","439"
"3hsmv","3'-hydroxy-simvastatin-lactone form","3","3","439"
"6msmv","6'-exomethylene-simvastatin-lactone form","3","3","439"
"6hmsmv","6'-beta-hydroxy-methyl-simvastatin-lactone form","3","3","439"
"6csmv","6'-beta-carboxy-simvastatin-lactone form","3","3","439"
"6hsmvacid","6'-beta-hydroxy simvastatin acid","3","3","439"
"3hsmvacid","3'-hydroxy-simvastatin-acid form","3","3","439"
"6hmsmvacid","6'-beta-hydroxy-methyl-simvastatin-acid form","3","3","439"
"6csmvacid","6'-beta-carboxy-simvastatin-acid form","3","3","439"
"CE6451","20-hydroperoxy-H4-neuroprostane","3","3","439"
"CE6450","17-hydroperoxy-H4-neuroprostane","3","3","439"
"s2l2n2m2m","de-Fuc form of PA6 (w/o peptide linkage)","3","3","439"
"CE6449","13-hydroperoxy-H4-neuroprostane","3","3","439"
"CE6448","14-hydroperoxy-H4-neuroprostane","3","3","439"
"CE6447","10-hydroperoxy-H4-neuroprostane","3","3","439"
"CE6446","11-hydroperoxy-H4-neuroprostane","3","3","439"
"saccrp_L","L-saccharopinate(1-)","3","3","439"
"CE6445","7-hydroperoxy-H4-neuroprostane","3","3","439"
"CE6444","4-hydroperoxy-H4-neuroprostane","3","3","439"
"CE6429","14-HPDHE(1-)","3","3","439"
"seahcys","L-adenosylselenohomocysteine","3","3","439"
"seasmet","L-adenosylselenomethionine","3","3","439"
"CE6423","11-peroxy-docosahexaenoate","3","3","439"
"CE6316","N,N-dimethyldopaminequinone","3","3","439"
"sel","selenate","3","3","439"
"selcys","selenocysteine","3","3","439"
"CE6242","S-(PGJ2)-glutathione","3","3","439"
"CE6235","S-(PGA2)-glutathione","3","3","439"
"seln","selenide","3","3","439"
"CE6188","CoA-omega-COOH-dinor-LTE4","3","3","439"
"ser_D","D-serine","3","3","439"
"2c23dh56dhoxin","leucodopachrome","3","3","439"
"CE6185","omega-carboxy-trinor-leukotriene B4","3","3","439"
"CE6031","androsterone sulfate","3","3","439"
"slfcys","S-sulfo-L-cysteine","3","3","439"
"CE5976","12-oxo-10,11-dihydro-20-COOH-LTB4","3","3","439"
"CE5968","3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate","3","3","439"
"CE5946","10,11-dihydro-20-trihydroxy-leukotriene B4","3","3","439"
"profvs","des-isoproylpropionic-acid-fluvastatin","3","3","439"
"CE5798","neuromedin N (1-4)","3","3","439"
"CE5797","neuromedin N","3","3","439"
"thrfvs","threo-isomer of fluvastain","3","3","439"
"crvsm22","cerivastatin-M22","3","3","439"
"24nph","2-hydroxy-4-nitrophenolate","3","3","439"
"crvsm31","cerivastatin-M31","3","3","439"
"sql","squalene","3","3","439"
"tymsf","Tyramine O-sulfate","3","3","439"
"cvm1gluc","cerivastatin-M1-glucuronide","3","3","439"
"cvm23gluc","cerivastatin-M23-glucuronide","3","3","439"
"CE5538","noradrenochrome","3","3","439"
"stcrn","stearoylcarnitine","3","3","439"
"strch2","starch, structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]})","3","3","439"
"rsvgluc","rosuvastatin-glucuronide","3","3","439"
"strdnccrn","stearidonyl carnitine","3","3","439"
"subeac","suberic acid","3","3","439"
"23cump","2',3'-cyclic UMP(1-)","3","3","439"
"CE5179","6,7-dihydro-5-oxo-leukotriene B4","3","3","439"
"sucsal","4-oxobutanoate","3","3","439"
"CE2179","4-hydroxy-17beta-estradiol","3","3","439"
"tagat_D","D-tagatose","3","3","439"
"sulpacmp","sulphate-conjugate-acetaminophen","3","3","439"
"taxol","paclitaxel","3","3","439"
"CE5140","12-oxo-20-trihydroxy-leukotriene B4","3","3","439"
"1mncam","1-methylnicotinamide","3","3","439"
"CE5126","(2R)-pristanoyl-CoA","3","3","439"
"CE5125","(2S)-pristanoyl-CoA","3","3","439"
"CE5122","3(S)-phytanoyl-CoA","3","3","439"
"s3meacmp","sulphate-conjugate-3-methoxy-acetaminophen","3","3","439"
"CE4993","10,11-dihydro-12R-hydroxy-leukotriene C4","3","3","439"
"tetd7ecoa","7-tetradecenoylcoa","3","3","439"
"CE4987","M_CE4987_c","3","3","439"
"tetdec2crn","tetradecadienoyl carnitine","3","3","439"
"stacmp","sulphate-conjugate of thiomethyl-acetaminophen","3","3","439"
"tetdece1crn","tetradecenoyl carnitine","3","3","439"
"CE4874","5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol","3","3","439"
"tetpent3crn","tetracosapentaenoyl carnitine","3","3","439"
"tetpent6crn","tetracosapentaenoyl carnitine","3","3","439"
"CE2201","(23S)-23,25-dihydroxycalciol","3","3","439"
"tettet6crn","Tetracosatetraenoyl carnitine","3","3","439"
"CE2211","3alpha-hydroxy-5alpha-pregnan-20-one","3","3","439"
"CE2248","3-hydroxyoctadecanoyl-CoA","3","3","439"
"CE4794","cis-6-dodecenoyl-CoA","3","3","439"
"tsacmsul","thiomethyl-sulphoxide-acetaminophen-sulphate","3","3","439"
"CE3554","20-trihydroxy-leukotriene-B4","3","3","439"
"thexddcoa","trans7,10-hexadecadienoylcoa","3","3","439"
"CE3481","1-lyso-2-arachidonoyl-phosphatidate","3","3","439"
"am1c4n9cs","AM1c4N9 (cyclosporine)","3","3","439"
"CE2875","3-monoiodo-L-thyronine 4-O-sulfate","3","3","439"
"CE2874","3-monoiodo-L-thyronine","3","3","439"
"CE2873","3,5-diiodo-L-thyronine 4-O-sulfate","3","3","439"
"thp2c","1-piperideine-6-carboxylate","3","3","439"
"am1a4ncs","AM1A4N (cyclosporine)","3","3","439"
"CE2839","maltodecaose","3","3","439"
"CE2838","maltononaose","3","3","439"
"c81_5Zcoa","cis-3-octenoyl-CoA(4-)","3","3","439"
"tmndnccrn","Timnodonyl carnitine","3","3","439"
"tmtrdcoa","4,8,12-trimethyltridecanoyl-CoA(4-)","3","3","439"
"tolbutamide","tolbutamide","3","3","439"
"CE2569","15-epi-lipoxin B4","3","3","439"
"CE2568","15-epi-lipoxin A4","3","3","439"
"tre","alpha,alpha-trehalose","3","3","439"
"CE2313","4,4-dimethylcholesta-8(9),14-dien-3beta-ol","3","3","439"
"triodthysuf","3,3',5-triiodo-L-thyronine sulfate","3","3","439"
"doco13ac","erucic acid","3","3","439"
"trypta","tryptaminium","3","3","439"
"CE2442","3Z,7Z,10Z-hexadecatrienoyl-CoA","3","3","439"
"acgal1p","N-acetyl-D-galactosamine 1-phosphate","3","3","439"
"CE2577","(E)-4-oxonon-2-enal","2","2","773"
"g3pc","choline alfoscerate","2","2","773"
"c161_9Ecoa","trans-9-octadecenoyl-CoA(4-)","2","2","773"
"ga1_hs","gibberellin A1(1-)","2","2","773"
"HC10856","(9Z,11E)-octadecadienoyl-CoA","2","2","773"
"HC10857","(S)-3-hydroxyoleyleoyl-CoA","2","2","773"
"HC10858","3-oxooleoyl-CoA","2","2","773"
"CE5272","3,4-dihydro-1,4-benzothiazine-3-carboxylate","2","2","773"
"ptvstgluc","pitavastatin-glucuronide","2","2","773"
"galacgalfuc12gal14acglcgalgluside_hs","alpha-D-GalNAc-(1->3)-[alpha-L-Fuc-(1->2)]-beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-alpha-D-Gal-(1->4)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer","2","2","773"
"galacgalfucgalacglcgal14acglcgalgluside_hs","(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1","2","2","773"
"galacglc13galacglcgal14acglcgalgluside_hs","nLc8Cer","2","2","773"
"c161_7Zcoa","M_c161_7Zcoa_m","2","2","773"
"galacglcgalacglcgal14acglcgalgluside_hs","beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-[beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->6)]-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer","2","2","773"
"4aabutn","4-acetamidobutanoate","2","2","773"
"c61_3Zcoa","(Z)-hex-3-enoyl-CoA(4-)","2","2","773"
"c50coa","pentanoyl-CoA(4-)","2","2","773"
"CE5305","3(S),6(R)-dihydroxy-tetradec-8Z-enoate","2","2","773"
"galfucgalacglcgalgluside_hs","alpha-D-Galp-(1->3)-[alpha-L-Fucp-(1->2)]-beta-D-Galp-(1->3)-beta-D-GlcpNAc-(1->3)-beta-D-Galp-(1->4)-beta-D-Glcp-(1->1')-Cer","2","2","773"
"CE5306","3(S),8(R)-dihydroxy-6E,10Z-hexadecadienoate","2","2","773"
"Lpipecol","L-pipecolic acid","2","2","773"
"galgalthcrm_hs","Gal-Gal-Gal-Gal-Glc-Cer","2","2","773"
"CE2615","2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline","2","2","773"
"CE5308","3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate","2","2","773"
"CE5309","3-oxo-8(R)-hydroxy-hexadeca-6E,10Z-dienoate","2","2","773"
"Nacsertn","N-acetylserotonin","2","2","773"
"galthcrm_hs","Gal-Gal-Gal-Glc-Cer","2","2","773"
"Ndmelys","Protein N6,N6-dimethyl-L-lysine","2","2","773"
"Nmelys","Histone N6-methyl-L-lysine","2","2","773"
"gar","N(1)-(5-phospho-D-ribosyl)glycinamide(1-)","2","2","773"
"Ntmelys","Protein N6,N6,N6-trimethyl-L-lysine","2","2","773"
"CE2616","2-hydroxyamino-MeIQx-N2-(beta-1-glucosiduronyl)-2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline","2","2","773"
"caribup_R","R-carboxy ibuprofen","2","2","773"
"CE5311","6(R)-hydroxy-tetradeca-2E,4E,8Z-trienoate","2","2","773"
"CE5312","6(R)-hydroxy-tetradeca-2E,8Z-dienoate","2","2","773"
"gd1b_hs","GD1b","2","2","773"
"CE5313","6(R)-hydroxy-tetradeca-4E,8Z-dienoate","2","2","773"
"gd2_hs","beta-GalNAc-(1->4)-[alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->3)]-beta-Gal-(1->4)-beta-Glc-(1<->1')-Cer","2","2","773"
"CE5314","8(R)-hydroxy-hexadeca-2E,4E,6E,10Z-tetraenoate","2","2","773"
"CE5315","8(R)-hydroxy-hexadeca-2E,6E,10Z-trienoate","2","2","773"
"CE5316","8(R)-hydroxy-hexadeca-4E,6E,10Z-trienoate","2","2","773"
"CE5317","3(S),6(S)-dihydroxy-tetradec-8Z-enoate","2","2","773"
"CE5318","3(S),8(S)-dihydroxy-6E,10Z-hexadecadienoate","2","2","773"
"Ssq23epx","(S)-2,3-epoxysqualene","2","2","773"
"ggn","primed glycogenin (glycogenin-8[1,4-Glc])","2","2","773"
"4aphdob","4-(2-aminophenyl)-2,4-dioxobutanoate","2","2","773"
"CE5320","3-oxo-6(S)-hydroxy-tetradec-8Z-enoate","2","2","773"
"CE5321","3-oxo-8(S)-hydroxy-hexadeca-6E,10Z-dienoate","2","2","773"
"CE2751","dynorphin A (1-5)","2","2","773"
"CE5323","6(S)-hydroxy-tetradeca-2E,4E,8Z-trienoate","2","2","773"
"CE5324","6(S)-hydroxy-tetradeca-2E,8Z-dienoate","2","2","773"
"glcr","D-glucarate(2-)","2","2","773"
"glcur1p","1-phospho-alpha-D-glucuronic acid","2","2","773"
"CE5325","6(S)-hydroxy-tetradeca-4E,8Z-dienoate","2","2","773"
"glgchlo","beta glucan-glycocholate complex","2","2","773"
"acACP","acetyl-[acyl-carrier protein]","2","2","773"
"gltcho","beta glucan-taurocholic acid complex","2","2","773"
"CE5326","8(S)-hydroxy-hexadeca-2E,4E,6E,10Z-tetraenoate","2","2","773"
"glu5p","L-gamma-glutamyl phosphate(2-)","2","2","773"
"CE5327","8(S)-hydroxy-hexadeca-2E,6E,10Z-trienoate","2","2","773"
"CE5328","8(S)-hydroxy-hexadeca-4E,6E-10Z-trienoate","2","2","773"
"CE2754","3,3,5 - triiodothyronine","2","2","773"
"4fumacac","4-fumarylacetoacetate(2-)","2","2","773"
"c221coa","erucoyl-CoA(4-)","2","2","773"
"4hbz","4-hydroxybenzoate","2","2","773"
"CE1264","benzothiazine","2","2","773"
"4hbzcoa","4-hydroxybenoyl-CoA","2","2","773"
"2aobut","L-2-amino-3-oxobutanoic acid","2","2","773"
"CE2862","neurotensin 1-10","2","2","773"
"CE2863","neurotensin 11-13","2","2","773"
"CE1274","3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one","2","2","773"
"acgalfucgalacglcgal14acglcgalgluside_hs","alpha-D-GalNAc-(1->3)-[alpha-L-Fuc-(1->2)]-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer","2","2","773"
"CE1277","5beta-cholestane-3alpha,7alpha,12alpha,23,25-pentol","2","2","773"
"acgam1p","2-acetamido-2-deoxy-D-glucopyranose 1-phosphate","2","2","773"
"CE1278","5beta-cholestane-3alpha,7alpha,12alpha,25,27-pentol","2","2","773"
"glygn1","glycogen, structure 1 (glycogenin-11[1,4-Glc])","2","2","773"
"CE5352","M_CE5352","2","2","773"
"CE1279","5beta-cholestane-3alpha,7alpha,12alpha,24R,25-pentol","2","2","773"
